id,proveedor_id,sku_detectado,descripcion_detectada,marca_detectada,precio_detectado,url_producto,imagen_url,fecha_captura,estatus,mensaje_error,nombre_normalizado,atributos_json,categoria_detectada,estatus_ia
1,9,INDTHW12,CABLE DE COBRE TIPO THW DE CAL. 12 AWG 600V. | INDIANA,GENERICA,12.4700,https://euroelectrica.com.mx/producto/cable-de-cobre-tipo-thw-de-cal-12-awg-600v-indiana/,,2025-12-05 06:35:27,PENDIENTE,,Cal 12 - Cable THW INFO_PENDIENTE (INFO_PENDIENTE) / Indiana,"{""detalle"": ""Calibre 12 AWG, Tipo THW, Color INFO_PENDIENTE, Presentación INFO_PENDIENTE"", ""fuente_datos"": ""https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQHmB5yznS7sa9A1zUfJF4Oh_P6QLT7P_88mk6AxiPvGGgoVY7SUwmlSWlkBXV7Fl629eTgc1-4p8SHtyyn3yfSSVTSdW5YAaQnjYH685bS2cMx27VbCb4wc4hoXf898hSXowYOfzZgUaoG2oo9d3_A63LYCqdOL6yg1lYg4CJi2t1fgzW9iNCa4qDUoYY6Dr5LAihSU""}",CONDUCTORES,PROCESADO
2,9,CTHW10NC1,"CABLE CON AISLAMIENTO TIPO THW 10 AWG, 90° 600V. COLOR NEGRO MCA. CONDULAC (CARRETE)",GENERICA,19.1400,https://euroelectrica.com.mx/producto/cable-con-aislamiento-tipo-thw-10-awg-90-600v-color-negro-mca-condulac-carrete/,,2025-12-05 06:05:34,PENDIENTE,,Cal 10 - Cable THW Negro (Carrete) / Condulac,"{""detalle"": ""Calibre 10 AWG, Tipo THW, Color Negro, Presentación Carrete"", ""fuente_datos"": ""https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQEz8TEHYBG3qHy5ZfGXuexwM_wMkUWDuE98qARy8lSY33K3r0xk1NuzmvZa8tigLe6GdHKQte7AyDK1bnbgPJt3GRTXn9hKnBTEfyliGxr8T2d5B7MmgMu6GpEvgRKq1D4UX_N343c8QpOvoTMa-wkWARoRtJlpxDuCGVtUyJ5jLYAZkXXMPXoPUUtqzIPEdHT2BCrm3Xi1eBvA5koqyXX_FbMPIlPbqaoJYLG_cAwKng==""}",CONDUCTORES,PROCESADO
3,9,CTHW10R,"CABLE CON AISLAMIENTO TIPO THW 10 AWG, 90° 600V. COLOR ROJO MCA. CONDULAC",GENERICA,19.1400,https://euroelectrica.com.mx/producto/cable-con-aislamiento-tipo-thw-10-awg-90-600v-color-rojo-mca-condulac/,,2025-12-05 06:06:51,PENDIENTE,,Cal 10 - Cable THW Rojo (Caja 100m) / Condulac,"{""detalle"": ""Calibre 10 AWG, Tipo THW, Color Rojo, Presentación Caja 100m"", ""fuente_datos"": ""https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQHcTNfk1WD1SEGAI9KfW_iqLbTatUzGPo1KLsLCGdz8BYVTCi5P-fVKlnSS0hDQvg7Cg173IQKQsM7EnEwts28Q9ghbiM_yIZH-_7BGClfbmdETbD4hh6Jd1wKUO46bqtrgOYL_OSCbfijISwfRvCpY0NUmHii2LYKLhq4wE39tufXcDsqhyUsmY0miGSU0BGu8VmRlosbEevSLNS1XnhI_3tMZHYSnxQ==""}",CONDUCTORES,PROCESADO
4,9,CTHW12VC1,"CABLE CON AISLAMIENTO TIPO THW 12 AWG, 90° 600V. COLOR VERDE MCA. CONDULAC (CARRETE)",GENERICA,12.1000,https://euroelectrica.com.mx/producto/cable-con-aislamiento-tipo-thw-12-awg-90-600v-color-verde-mca-condulac-carrete/,,2025-12-05 06:08:26,PENDIENTE,,Cal 12 - Cable THW Verde (Carrete) / Condulac,"{""detalle"": ""Calibre 12 AWG, Tipo THW, Color Verde, Presentación Carrete"", ""fuente_datos"": ""https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQFjyMJvA4ghwBgFLxG70L4AC_9uRC_WlUgAgFY63WSQWOwR_atybQ8AzOPI_3FqRV9hx6ToNl9pw_WARZJmqgf8LdsU8jLlkvkqKc4LhVQHpIU41hrnvLZHib2gxe4a8nVumKHddmHC3olkxQ9dio0k7WUQLKEi8c2wHleLWlak_let6Qs51tIN88XfrncBhUn-hjdxY_eohkdo-Vmnr3mRrEiDe-A98vHJbXMP0loo_g==""}",CONDUCTORES,PROCESADO
5,9,CTHW10RC1,"CABLE CON AISLAMIENTO TIPO THW 10 AWG, 90° 600V. COLOR ROJO MCA. CONDULAC (CARRETE)",GENERICA,19.1400,https://euroelectrica.com.mx/producto/cable-con-aislamiento-tipo-thw-10-awg-90-600v-color-rojo-mca-condulac-carrete/,,2025-12-05 06:09:00,PENDIENTE,,Cal 10 - Cable THW Rojo (Carrete) / Condulac,"{""detalle"": ""Calibre 10 AWG, Tipo THW, Color Rojo, Presentación Carrete"", ""fuente_datos"": ""https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQHp3eWPFZU_XM-Sih7WE-Ra3dGchIkxR51QFARFqgQQY1pZeJE5RbEgemAFtzgtEVQV2NiPUVcH4XtETuiyESK-UYLv7zB1Mu5n5lI7Bszej-eMBUXgT_wtu6qmlSbQjFpjb1qxewcGvrbwCPZxJEDPBRLakGzLEKPSUvNnKq39U35RuYoKfydEoJALGrHG23t2FL3hsgP13dNF_wUT38dA33e1SJgZszVfpIM0510vSHoCo0b6PDYcUd3V9E7AoqR83GsG75MU""}",CONDUCTORES,PROCESADO
6,9,CTHW12R,"CABLE CON AISLAMIENTO TIPO THW 12 AWG, 90° 600V. COLOR ROJO MCA. CONDULAC",GENERICA,12.1000,https://euroelectrica.com.mx/producto/cable-con-aislamiento-tipo-thw-12-awg-90-600v-color-rojo-mca-condulac/,,2025-12-05 06:07:45,PENDIENTE,,Cal 12 - Cable THW-LS Rojo (Caja 100m) / Condulac,"{""detalle"": ""Calibre 12 AWG, Tipo THW-LS, Color Rojo, Presentación Caja 100m"", ""fuente_datos"": ""https://ferrepat.com/cable-condulac-tipo-thw-ls-thhw-ls-rojo-12-awg-600v-100m""}",CONDUCTORES,PROCESADO
7,9,CTHW10RC1,"CABLE CON AISLAMIENTO TIPO THW 10 AWG, 90° 600V. COLOR ROJO MCA. CONDULAC (CARRETE)",GENERICA,19.1400,https://euroelectrica.com.mx/producto/cable-con-aislamiento-tipo-thw-10-awg-90-600v-color-rojo-mca-condulac-carrete/,,2025-12-04 13:36:13,PENDIENTE,,Cal 10 - Cable THW-LS Rojo (Carrete) / Condulac,"{""detalle"": ""Calibre 10 AWG, Tipo THW-LS, Color Rojo, Presentación Carrete"", ""fuente_datos"": ""https://euroelectrica.mx/producto/cable-con-aislamiento-tipo-thw-10-awg-90-600v-color-rojo-mca-condulac/""}",CONDUCTORES,PROCESADO
8,9,CTHW12VC1,"CABLE CON AISLAMIENTO TIPO THW 12 AWG, 90° 600V. COLOR VERDE MCA. CONDULAC (CARRETE)",GENERICA,12.1000,https://euroelectrica.com.mx/producto/cable-con-aislamiento-tipo-thw-12-awg-90-600v-color-verde-mca-condulac-carrete/,,2025-12-04 13:36:17,PENDIENTE,,Cal 12 - Cable THW-LS Verde (Carrete) / Condulac,"{""detalle"": ""Calibre 12 AWG, Tipo THW-LS, Color Verde, Presentación Carrete"", ""fuente_datos"": ""https://euroelectrica.mx/producto/cable-con-aislamiento-tipo-thw-12-awg-90-600v-color-verde-mca-condulac-carrete/""}",CONDUCTORES,PROCESADO
9,9,CTHW10N,"CABLE CON AISLAMIENTO TIPO THW 10 AWG, 90° 600V. COLOR NEGRO MCA. CONDULAC",GENERICA,19.1400,https://euroelectrica.com.mx/producto/cable-con-aislamiento-tipo-thw-10-awg-90-600v-color-negro-mca-condulac/,,2025-12-05 06:09:26,PENDIENTE,,Cal 10 - Cable THW-LS Negro (Caja 100m) / Condulac,"{""detalle"": ""Calibre 10 AWG, Tipo THW-LS, Color Negro, Presentación Caja 100m"", ""fuente_datos"": ""https://lumi.mx/producto/caja-cable-thw-calibre-10-negro-antiflama-751-condulac/""}",CONDUCTORES,PROCESADO
10,9,CTHW12BC1,"CABLE CON AISLAMIENTO TIPO THW 12 AWG, 90° 600V. COLOR BLANCO, MCA. CONDULAC (CARRETE)",GENERICA,12.1000,https://euroelectrica.com.mx/producto/cable-con-aislamiento-tipo-thw-12-awg-90-600v-color-blanco-mca-condulac-carrete/,,2025-12-05 06:07:31,PENDIENTE,,Cal 12 - Cable THW-LS Blanco (Carrete) / Condulac,"{""detalle"": ""Calibre 12 AWG, Tipo THW-LS, Color Blanco, Presentación Carrete"", ""fuente_datos"": ""https://euroelectrica.mx/producto/cable-con-aislamiento-tipo-thw-12-awg-90-600v-color-blanco-mca-condulac-carrete/""}",CONDUCTORES,PROCESADO
